Month,#Passengers
1949-01,202
1949-01,535
1949-03,448
1949-04,370
1949-05,206
1949-05,171
1949-06,288
1949-07,120
1949-08,202
1949-09,221
1949-10,566
1949-11,314
1949-12,430
1950-01,558
1950-02,187
1950-03,472
1950-04,199
1950-05,459
1950-06,251
1950-07,230
1950-08,249
1950-09,408
1950-10,357
1950-11,443
1950-12,591
1951-01,513
1951-02,393
1951-03,485
1951-04,291
1951-05,543
1951-06,376
1951-07,260
1951-08,559
1951-09,413
1951-10,121
1951-11,352
1951-12,335
1952-01,444
1952-02,148
1952-03,574
1952-04,158
1952-05,269
1952-06,575
1952-07,287
1952-08,563
1952-09,370
1952-10,289
1952-11,545
1952-12,274
1953-01,545
1953-02,150
1953-03,463
1953-04,154
1953-05,343
1953-06,419
1953-07,230
1953-08,584
1953-09,406
1953-10,234
1953-11,120
1953-12,428
1954-01,266
1954-02,373
1954-03,487
1954-04,188
1954-05,415
1954-06,113
1954-07,341
1954-08,364
1954-09,445
1954-10,152
1954-11,485
1954-12,439
1954-12,191
1955-01,466
1955-03,543
1955-03,554
1955-04,527
1955-05,363
1955-06,530
1955-07,134
1955-08,305
1955-09,180
1955-10,519
1955-11,149
1955-12,459
1956-01,487
1956-02,101
1956-03,489
1956-04,153
1956-05,205
1956-06,359
1956-07,409
1956-08,576
1956-09,290
1956-10,501
1956-11,317
1956-12,143
1957-01,261
1957-02,301
1957-03,545
1957-04,583
1957-05,369
1957-06,450
1957-07,403
1957-08,370
1957-09,555
1957-10,561
1957-11,314
1957-12,351
1958-01,289
1958-02,395
1958-03,312
1958-04,307
1958-05,336
1958-06,437
1958-07,466
1958-08,152
1958-09,379
1958-10,509
1958-11,316
1958-12,351
1959-01,287
1959-02,479
1959-03,592
1959-04,140
1959-05,256
1959-06,114
1959-07,400
1959-08,164
1959-09,444
1959-10,426
1959-11,108
1959-12,443
1960-01,228
1960-02,591
1960-03,235
1960-04,571
1960-05,162
1960-06,238
1960-07,598
1960-08,180
1960-08,491
1960-09,262
